student_id,Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification_grade,Admission_grade,Displaced,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade
JJI-00001,1,17,5,171,1,122.0,127.3,1,0,1,1,0,20,0,0,0,0.0,0,0,0.0
JJI-00002,1,15,1,9254,1,160.0,142.5,1,0,0,1,0,19,0,6,6,14.0,6,6,13.666666666666666
JJI-00003,1,1,5,9070,1,122.0,124.8,1,0,0,1,0,19,0,6,0,0.0,6,0,0.0
JJI-00004,1,17,2,9773,1,122.0,119.6,1,0,1,0,0,20,0,6,6,13.428571428571429,6,5,12.4
JJI-00005,2,39,1,8014,0,100.0,141.5,0,0,1,0,0,45,0,6,5,12.333333333333334,6,6,13.0
JJI-00006,2,39,1,9991,0,133.1,114.8,0,1,1,1,0,50,0,5,5,11.857142857142858,5,5,11.5
JJI-00007,1,1,1,9500,1,142.0,128.4,1,0,1,0,1,18,0,7,7,13.3,8,8,14.345
JJI-00008,1,18,4,9254,1,119.0,113.1,1,0,0,1,0,22,0,5,0,0.0,5,0,0.0
JJI-00009,1,1,3,9238,1,137.0,129.3,0,0,1,0,1,21,1,6,6,13.875,6,6,14.142857142857142
JJI-00010,1,1,1,9238,1,138.0,123.0,1,1,0,0,0,18,0,6,5,11.4,6,2,13.5
JJI-00011,1,1,1,9670,1,139.0,130.6,1,0,1,0,0,18,0,6,6,12.333333333333334,6,5,14.2
JJI-00012,1,1,1,9500,1,136.0,119.3,1,0,1,0,1,18,0,8,7,13.214285714285714,8,7,13.214285714285714
JJI-00013,1,1,2,9853,1,133.0,130.2,1,0,1,0,0,19,0,6,0,0.0,6,0,0.0
JJI-00014,1,53,1,9254,1,110.0,111.8,1,0,1,0,1,21,0,6,6,10.571428571428571,6,5,11.0
JJI-00015,1,1,1,9085,1,149.0,137.1,1,0,1,0,1,18,0,5,4,13.25,5,5,12.0
JJI-00016,1,1,1,9773,1,127.0,120.7,1,0,1,0,0,20,0,6,5,13.2,6,0,0.0
JJI-00017,1,18,1,9238,1,137.0,137.4,1,0,1,0,0,18,0,6,1,12.0,6,2,11.0
JJI-00018,1,17,2,9500,1,135.0,127.3,1,0,1,0,0,18,0,7,7,13.30625,8,8,14.545
JJI-00019,1,1,1,9130,1,137.0,136.3,1,0,1,0,0,20,0,5,4,12.5,5,4,12.25
JJI-00020,1,1,1,9853,1,140.0,124.6,1,0,1,0,0,18,0,7,6,11.666666666666666,7,6,13.5
JJI-00021,1,1,3,171,1,122.0,120.3,0,0,1,0,1,21,0,0,0,0.0,0,0,0.0
JJI-00022,1,18,4,9556,1,127.0,121.8,1,0,1,0,0,20,0,7,7,11.4375,8,8,11.425
JJI-00023,1,1,4,9500,1,142.0,125.5,1,0,1,0,0,18,0,8,7,12.857142857142858,8,7,12.857142857142858
JJI-00024,1,1,4,9670,1,125.0,114.9,1,0,1,0,1,19,0,6,6,13.375,6,6,12.285714285714286
JJI-00025,1,1,1,9500,1,126.0,123.9,0,0,1,0,0,19,0,7,6,13.296666666666669,8,7,14.114285714285714
JJI-00026,1,1,1,9238,1,151.0,157.0,1,1,1,0,1,18,0,6,5,11.6,6,4,11.0
JJI-00027,1,17,2,9238,1,115.0,116.4,1,0,1,0,0,21,0,6,6,11.375,6,6,13.285714285714286
JJI-00028,1,1,1,9085,1,138.0,131.0,1,0,1,0,0,18,0,5,5,12.666666666666666,5,4,13.0
JJI-00029,1,1,1,9147,1,135.0,122.1,1,0,1,0,0,20,0,5,5,12.0,5,5,12.333333333333334
JJI-00030,1,17,2,9500,1,127.0,118.8,1,0,1,1,0,19,0,7,6,12.933333333333332,7,6,13.716666666666669
JJI-00031,1,44,1,9003,1,150.0,150.0,0,0,1,1,0,21,0,6,5,11.857142857142858,6,5,10.571428571428571
JJI-00032,1,51,1,9070,1,125.0,130.0,1,0,1,1,0,20,0,6,6,12.833333333333334,6,4,13.4
JJI-00033,1,1,1,9147,1,143.0,138.8,0,0,0,1,0,18,0,5,3,11.333333333333334,5,2,13.5
JJI-00034,1,18,1,8014,0,138.0,134.5,1,0,1,0,0,19,0,6,6,12.666666666666666,6,6,14.375
JJI-00035,1,1,1,9991,0,130.0,131.4,0,0,1,1,0,34,0,5,5,12.4,5,5,13.428571428571429
JJI-00036,1,39,1,33,1,130.0,102.5,0,1,0,1,0,37,0,7,0,0.0,7,1,10.0
JJI-00037,1,39,1,9119,1,133.1,128.8,1,0,1,1,0,43,0,5,0,0.0,5,0,0.0
JJI-00038,1,43,1,9147,1,140.0,122.9,0,0,1,0,0,55,0,5,1,10.0,5,2,12.0
JJI-00039,4,39,1,9991,0,120.0,113.9,1,0,1,0,0,39,0,5,5,11.0,5,5,11.6
JJI-00040,1,44,1,9130,1,120.0,120.0,0,1,0,0,0,20,1,6,3,11.666666666666666,6,3,12.0
