Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification_grade,Admission_grade,Displaced,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,student_id
1,18,1,9238,1,137.0,137.4,1,0,1,0,0,18,0,6,1,12.0,6,2,11.0,JJI-00017
1,1,1,9853,1,140.0,124.6,1,0,1,0,0,18,0,7,6,11.666666666666666,7,6,13.5,JJI-00020
1,18,4,9556,1,127.0,121.8,1,0,1,0,0,20,0,7,7,11.4375,8,8,11.425,JJI-00022
1,1,1,9238,1,151.0,157.0,1,1,1,0,1,18,0,6,5,11.6,6,4,11.0,JJI-00026
1,1,1,9085,1,138.0,131.0,1,0,1,0,0,18,0,5,5,12.666666666666666,5,4,13.0,JJI-00028
1,17,2,9500,1,127.0,118.8,1,0,1,1,0,19,0,7,6,12.933333333333332,7,6,13.716666666666669,JJI-00030
1,44,1,9003,1,150.0,150.0,0,0,1,1,0,21,0,6,5,11.857142857142858,6,5,10.571428571428571,JJI-00031
1,1,1,9147,1,143.0,138.8,0,0,0,1,0,18,0,5,3,11.333333333333334,5,2,13.5,JJI-00033
1,17,1,9991,0,154.0,134.1,0,0,1,0,0,24,0,5,2,11.5,5,3,14.333333333333334,JJI-00046
1,1,1,9500,1,139.0,121.3,1,0,1,0,1,19,0,8,6,11.833333333333334,8,6,11.833333333333334,JJI-00052
1,1,1,9773,1,127.0,121.8,1,0,1,0,1,20,0,6,4,14.0,6,3,11.0,JJI-00053
1,1,3,171,1,125.0,115.2,1,0,1,0,0,18,0,0,0,0.0,0,0,0.0,JJI-00060
1,17,3,171,1,133.0,126.0,1,0,1,1,1,19,0,0,0,0.0,0,0,0.0,JJI-00063
1,17,1,9070,1,127.0,130.2,1,0,1,1,0,19,0,6,5,11.4,6,1,10.0,JJI-00064
1,43,1,9070,1,116.0,120.9,0,0,1,1,0,24,0,6,0,0.0,6,0,0.0,JJI-00065
