fitur,importance,std_dev
approval_rate_total,0.01008,0.004297
approval_rate_2nd,0.006504,0.002659
Tuition_fees_up_to_date,0.004765,0.001249
financial_risk,0.00311,0.001267
approval_rate_1st,0.002964,0.00357
Course,0.002704,0.00101
Curricular_units_2nd_sem_approved,0.002698,0.00243
approval_trend,0.00201,0.001728
total_approved,0.00188,0.002351
Curricular_units_2nd_sem_enrolled,0.001467,0.000414
Age_at_enrollment,0.001356,0.000647
Admission_grade,0.001094,0.000398
Scholarship_holder,0.000898,0.000451
avg_grade,0.000823,0.001245
Application_order,0.000654,0.000252
Gender,0.000628,0.000333
Curricular_units_1st_sem_grade,0.000565,0.000742
Curricular_units_1st_sem_enrolled,0.000517,0.000411
Curricular_units_2nd_sem_grade,0.000386,0.001824
Displaced,0.000366,0.000235
no_pass_flag,0.000359,0.000909
Previous_qualification_grade,0.000312,0.000483
Debtor,0.000258,0.000791
Daytime_evening_attendance,0.00017,4.9e-05
Curricular_units_1st_sem_approved,0.000151,0.001584
Application_mode,0.000105,0.000451
Marital_status,7.3e-05,8.5e-05
International,1.2e-05,2.5e-05
grade_trend,-0.000517,0.00089
