student_id,status,is_dropout,risk_score,risk_band,is_flagged,sumber_skor,program_studi,jalur_masuk,jalur_masuk_detail,waktu_kuliah,jenis_kelamin,status_pernikahan,kelompok_usia,usia_saat_daftar,band_nilai_masuk,nilai_masuk,status_keuangan,ukt_lunas,menunggak,penerima_beasiswa,perantau,mahasiswa_internasional,band_kelulusan_sks,band_nilai_semester,rasio_kelulusan,rata_rata_nilai,tren_kelulusan,total_mk_lulus,mk_lulus_sem1,mk_lulus_sem2,nilai_sem1,nilai_sem2
JJI-00001,Dropout,1,68.0,Sangat Tinggi,1,out-of-fold (data berlabel),Desain Animasi & Multimedia,Seleksi Reguler,Seleksi umum - fase 2,Kelas Siang,Laki-laki,Lajang,20-22,20,120-130,127.3,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,Ya,Tidak,0% (tidak lulus satu pun),Tanpa nilai,0.0,0.0,0.0,0,0,0,0.0,0.0
JJI-00002,Graduate,0,28.6,Sedang,0,out-of-fold (data berlabel),Pariwisata,Mahasiswa Internasional,Mahasiswa internasional (sarjana),Kelas Siang,Laki-laki,Lajang,17-19,19,140-150,142.5,Perlu perhatian (1 masalah),Tidak,Tidak,Tidak,Ya,Tidak,81-100%,12-14,1.0,13.8333,0.0,12,6,6,14.0,13.6667
JJI-00003,Dropout,1,99.6,Sangat Tinggi,1,out-of-fold (data berlabel),Desain Komunikasi,Seleksi Reguler,Seleksi umum - fase 1,Kelas Siang,Laki-laki,Lajang,17-19,19,120-130,124.8,Perlu perhatian (1 masalah),Tidak,Tidak,Tidak,Ya,Tidak,0% (tidak lulus satu pun),Tanpa nilai,0.0,0.0,0.0,0,0,0,0.0,0.0
JJI-00004,Graduate,0,15.4,Rendah,0,out-of-fold (data berlabel),Jurnalistik & Komunikasi,Seleksi Reguler,Seleksi umum - fase 2,Kelas Siang,Perempuan,Lajang,20-22,20,<120,119.6,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,Ya,Tidak,81-100%,12-14,0.9167,12.9143,-0.1667,11,6,5,13.4286,12.4
JJI-00005,Graduate,0,12.5,Rendah,0,out-of-fold (data berlabel),Pekerjaan Sosial (kelas malam),Jalur Usia >23 Tahun,Jalur usia di atas 23 tahun,Kelas Malam,Perempuan,Menikah,41+,45,140-150,141.5,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,Tidak,Tidak,81-100%,12-14,0.9167,12.6667,0.1667,11,5,6,12.3333,13.0
JJI-00006,Graduate,0,33.8,Sedang,0,out-of-fold (data berlabel),Manajemen (kelas malam),Jalur Usia >23 Tahun,Jalur usia di atas 23 tahun,Kelas Malam,Laki-laki,Menikah,41+,50,<120,114.8,Perlu perhatian (1 masalah),Ya,Ya,Tidak,Tidak,Tidak,81-100%,10-12,1.0,11.6786,0.0,10,5,5,11.8571,11.5
JJI-00007,Graduate,0,6.7,Rendah,0,out-of-fold (data berlabel),Keperawatan,Seleksi Reguler,Seleksi umum - fase 1,Kelas Siang,Perempuan,Lajang,17-19,18,120-130,128.4,Aman (lunas & tidak menunggak),Ya,Tidak,Ya,Ya,Tidak,81-100%,12-14,1.0,13.8225,0.0,15,7,8,13.3,14.345
JJI-00008,Dropout,1,99.9,Sangat Tinggi,1,out-of-fold (data berlabel),Pariwisata,Seleksi Reguler,Seleksi umum - fase 3,Kelas Siang,Laki-laki,Lajang,20-22,22,<120,113.1,Perlu perhatian (1 masalah),Tidak,Tidak,Tidak,Ya,Tidak,0% (tidak lulus satu pun),Tanpa nilai,0.0,0.0,0.0,0,0,0,0.0,0.0
JJI-00009,Graduate,0,3.1,Rendah,0,out-of-fold (data berlabel),Pekerjaan Sosial,Seleksi Reguler,Seleksi umum - fase 1,Kelas Siang,Perempuan,Lajang,20-22,21,120-130,129.3,Aman (lunas & tidak menunggak),Ya,Tidak,Ya,Tidak,Ya,81-100%,>14,1.0,14.0089,0.0,12,6,6,13.875,14.1429
JJI-00010,Dropout,1,93.1,Sangat Tinggi,1,out-of-fold (data berlabel),Pekerjaan Sosial,Seleksi Reguler,Seleksi umum - fase 1,Kelas Siang,Perempuan,Lajang,17-19,18,120-130,123.0,Bermasalah (menunggak & UKT tertunggak),Tidak,Ya,Tidak,Ya,Tidak,51-80%,12-14,0.5833,12.45,-0.5,7,5,2,11.4,13.5
