student_id,program_studi,jalur_masuk,kelompok_usia,status_keuangan,ukt_lunas,menunggak,penerima_beasiswa,rasio_kelulusan,rata_rata_nilai,tren_kelulusan,risk_score,risk_band
JJI-00065,Desain Komunikasi,Pindahan / Ganti Program,23-25,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.0,0.0,0.0,99.9,Sangat Tinggi
JJI-03721,Agronomi,Pemegang Ijazah/Diploma Lain,17-19,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.0833,5.5,-0.1667,99.9,Sangat Tinggi
JJI-02240,Keperawatan Hewan,Jalur Usia >23 Tahun,23-25,Bermasalah (menunggak & UKT tertunggak),Tidak,Ya,Tidak,0.0,0.0,0.0,99.9,Sangat Tinggi
JJI-03897,Desain Komunikasi,Seleksi Reguler,20-22,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.0833,5.5,-0.1667,99.9,Sangat Tinggi
JJI-00090,Teknik Informatika,Pindahan / Ganti Program,17-19,Perlu perhatian (1 masalah),Ya,Ya,Tidak,0.2,5.0,-0.4,99.9,Sangat Tinggi
JJI-03926,Manajemen,Pindahan / Ganti Program,23-25,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.1,5.0,-0.2,99.9,Sangat Tinggi
JJI-03078,Teknik Informatika,Pindahan / Ganti Program,26-30,Bermasalah (menunggak & UKT tertunggak),Tidak,Ya,Tidak,0.0,0.0,0.0,99.9,Sangat Tinggi
JJI-02795,Manajemen (kelas malam),Jalur Usia >23 Tahun,26-30,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.0,0.0,0.0,99.9,Sangat Tinggi
JJI-00943,Pekerjaan Sosial,Jalur Usia >23 Tahun,31-40,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.0,0.0,0.0,99.9,Sangat Tinggi
JJI-00254,Jurnalistik & Komunikasi,Seleksi Reguler,17-19,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.0833,5.5,-0.1667,99.8,Sangat Tinggi
JJI-03413,Manajemen,Seleksi Reguler,17-19,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.1,5.5,-0.2,99.8,Sangat Tinggi
JJI-01243,Teknik Informatika,Jalur Usia >23 Tahun,23-25,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.2,10.5,0.0,99.8,Sangat Tinggi
JJI-01988,Manajemen (kelas malam),Jalur Usia >23 Tahun,31-40,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.0,0.0,0.0,99.8,Sangat Tinggi
JJI-01823,Manajemen,Seleksi Reguler,17-19,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.1,5.5,-0.2,99.8,Sangat Tinggi
JJI-02705,Manajemen Periklanan & Pemasaran,Seleksi Reguler,17-19,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.0,0.0,0.0,99.8,Sangat Tinggi
JJI-00855,Teknik Informatika,Seleksi Reguler,17-19,Bermasalah (menunggak & UKT tertunggak),Tidak,Ya,Tidak,0.0,0.0,0.0,99.8,Sangat Tinggi
JJI-00143,Manajemen,Pindahan / Ganti Program,20-22,Bermasalah (menunggak & UKT tertunggak),Tidak,Ya,Tidak,0.0,0.0,0.0,99.7,Sangat Tinggi
JJI-00929,Keperawatan Hewan,Jalur Usia >23 Tahun,26-30,Perlu perhatian (1 masalah),Ya,Ya,Tidak,0.0,0.0,0.0,99.7,Sangat Tinggi
JJI-00192,Pekerjaan Sosial (kelas malam),Seleksi Reguler,23-25,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.2727,10.0,-0.1333,99.7,Sangat Tinggi
JJI-04282,Keperawatan Hewan,Seleksi Reguler,20-22,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.25,5.625,-0.5,99.7,Sangat Tinggi
JJI-00764,Manajemen,Mahasiswa Internasional,31-40,Perlu perhatian (1 masalah),Ya,Ya,Tidak,0.2,10.5,0.0,99.7,Sangat Tinggi
JJI-02759,Agronomi,Pemegang Ijazah/Diploma Lain,23-25,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.0,0.0,0.0,99.6,Sangat Tinggi
JJI-02564,Pekerjaan Sosial,Seleksi Reguler,20-22,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.0909,6.0,-0.1667,99.6,Sangat Tinggi
JJI-01564,Pengelolaan Kuda (Equinculture),Pemegang Ijazah/Diploma Lain,20-22,Bermasalah (menunggak & UKT tertunggak),Tidak,Ya,Tidak,0.4167,11.5,-0.1667,99.6,Sangat Tinggi
JJI-03500,Agronomi,Jalur Usia >23 Tahun,26-30,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.0,0.0,0.0,99.6,Sangat Tinggi
JJI-01862,Teknik Informatika,Jalur Usia >23 Tahun,31-40,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.1,5.5,0.2,99.6,Sangat Tinggi
JJI-03591,Manajemen,Seleksi Reguler,17-19,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.0,0.0,0.0,99.6,Sangat Tinggi
JJI-02361,Teknik Informatika,Jalur Usia >23 Tahun,23-25,Perlu perhatian (1 masalah),Ya,Ya,Tidak,0.2,10.5,0.0,99.6,Sangat Tinggi
JJI-02327,Teknik Informatika,Pindahan / Ganti Program,17-19,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.1,5.0,0.2,99.5,Sangat Tinggi
JJI-02595,Manajemen,Seleksi Reguler,23-25,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.3,11.0,-0.2,99.5,Sangat Tinggi
JJI-00511,Desain Komunikasi,Seleksi Reguler,17-19,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.3333,5.375,-0.6667,99.5,Sangat Tinggi
JJI-02783,Jurnalistik & Komunikasi,Pindahan / Ganti Program,23-25,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.4167,11.1667,-0.1667,99.4,Sangat Tinggi
JJI-01249,Manajemen Periklanan & Pemasaran,Pemegang Ijazah/Diploma Lain,20-22,Perlu perhatian (1 masalah),Ya,Ya,Tidak,0.1667,11.5,0.0,99.3,Sangat Tinggi
JJI-02258,Agronomi,Pemegang Ijazah/Diploma Lain,20-22,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.3846,11.0833,-0.0952,99.3,Sangat Tinggi
JJI-04186,Manajemen (kelas malam),Seleksi Reguler,20-22,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.0,0.0,0.0,99.3,Sangat Tinggi
JJI-02968,Keperawatan,Seleksi Reguler,17-19,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.0,0.0,0.0,99.2,Sangat Tinggi
JJI-04149,Manajemen,Seleksi Reguler,20-22,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.4,10.5,0.0,99.2,Sangat Tinggi
JJI-02588,Manajemen,Seleksi Reguler,23-25,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.3,10.75,-0.2,99.2,Sangat Tinggi
